Brain_061225,NMR #,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,Brain_061225,NMR #,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
,Sample #,1MN,2MN,3MN,4MN,5MN,1X1,2X1,3X1,4X1,5X1,1X2,2X2,3X2,4X2,5X2,1X3,2X3,3X3,4X3,5X3,,Sample #,1Y1,2Y1,3Y1,4Y1,5Y1,1Y2,2Y2,3Y2,4Y2,5X2,1Y3,2Y3,3Y3,4Y3,5Y3
PPM Range,Compound,SIMPL-DREX,,,,,80% MEOH,,,,,,,,,,,,,,,PPM Range,Compound,Matyash D2O dissolved metabolome,,,,,,,,,,,,,,
8.474      8.452 ,Formate,0.003,0.0051,0.0047,0.0043,0.00475676,0.0039,0.0033,0.0029,0.0041,0.003,0.0041,0.0032,0.0029,0.0037,0.0018,0.0033,0.0024,0.0043,0.0033,0.003,8.474      8.452 ,Formate,0.0144,0.0161,0.0129,0.0134,0.0128,0.0133,0.0132,0.0148,0.0112,0.0145,0.0118,0.0102,0.0157,0,0
 8.364      8.336   ,Inosine,0.0124,0.0129,0.0357,0.0056,0.0270627,0.0143,0.0174,0.0347,0.0092,0.0324,0.0058,0.0031,0.0092,0.0035,0.0033,0.0001,0,0,0,0, 8.364      8.336   ,Inosine,0.0021,0.0022,0.0074,0.0016,0.0042,0.0001,0.0005,0.0013,0.0003,0.0013,0,0,0.0008,0,0
 8.205      8.182  ,Hypoxanthine,0.0079,0.0196,0.0107,0.0132,0.0118233,0.0085,0.0332,0.0116,0.0294,0.0152,0.0039,0.0062,0.0031,0.0066,0.0022,0.0002,0,0,0,0, 8.205      8.182  ,Hypoxanthine,0.0013,0.0031,0.0015,0.0031,0.0018,0,0,0.0025,0,0.0013,0,0,0.0002,0,0
 7.463      7.319,Phenylalanine,0.0575,0.1695,0.1889,0.0652,0.122374,0.0604,0.2112,0.1766,0.1009,0.1347,0,0.0505,0.0574,0.0547,0.0755,0.001,0.0096,0.0067,0,0, 7.463      7.319,Phenylalanine,0.0121,0.0314,0.0319,0.0217,0.0173,0.0074,0.0102,0.0224,0.0119,0.0349,0.0137,0.0047,0,0.3107,0.0021
7.083      7.059,Histidine,0.0028,0.0103,0.0086,0.0045,0.00779224,0.0039,0.011,0.0069,0.0104,0.0057,0,0.0023,0.0015,0.0025,0.003,0.0003,0,0,0.0005,0,7.083      7.059,Histidine,0,0,0.0001,0,0.0001,0,0,0.001,0.0004,0.0001,0,0,0.0205,0.0002,0
7.028      6.999 ,Carnosine,0.0109,0.0208,0.0097,0.0109,0.01801,0.0107,0.0237,0.0074,0.0241,0.0152,0.0054,0.0048,0.0023,0.0049,0.0033,0.0001,0,0,0,0,7.028      6.999 ,Carnosine,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0.0002,0
6.931      6.888,Tyrosine,0.0094,0.0366,0.0378,0.0142,0.0276502,0.0097,0.0495,0.0338,0.0233,0.0302,0,0.0086,0.0091,0.0074,0.0088,0.0036,0,0,0.0047,0,6.931      6.888,Tyrosine,0,0.0045,0.005,0.0026,0.0026,0,0.0004,0.0027,0.0004,0.0034,0,0,0,0,0
5.937      5.895 ,Uridine,0.0084,0.0225,0.0195,0.0074,0.0147977,0.0116,0.0285,0.0186,0.011,0.0173,0,0.0077,0.0068,0.0097,0.0131,0.0018,0,0,0,0,5.937      5.895 ,Uridine,0,0.0045,0.0033,0,0.0011,0.0004,0,0.0001,0,0,0.0005,0.0002,0.0003,0,0
 3.569      3.561 ,Glycine,0.092,0.2852,0.1787,0.1622,0.183684,0.1009,0.3797,0.1563,0.2723,0.1829,0.0256,0.0719,0.0424,0.0558,0.0213,0.0287,0.0104,0.0093,0.0191,0.0079, 3.569      3.561 ,Glycine,0.0151,0.0308,0.0169,0.0241,0.0186,0.0048,0.0053,0.0464,0.0063,0.0132,0.0044,0.0017,0,0,0
 3.555      3.522,Myo-Inositol,0.4624,0.8936,0.5311,0.5645,0.753394,0.4174,1.1681,0.4672,0.9318,0.7718,0.0953,0.2338,0.1194,0.1859,0.1449,0.0102,0.0238,0.0148,0.0252,0.0205, 3.555      3.522,Myo-Inositol,0.0425,0.0591,0.0328,0.0392,0.0384,0.0048,0.0103,0.1897,0.0046,0.045,0.0012,0,0.0083,0,0.0003
  3.446      3.410 ,Taurine,0.0669,0.1375,0.1088,0.1153,0.140815,0.0592,0.2038,0.0925,0.1733,0.1354,0.0185,0.0373,0.0315,0.0382,0.0268,0.0139,0.0029,0.0098,0.0116,0.0078,  3.446      3.410 ,Taurine,0.0086,0.0144,0.0066,0.0132,0.0113,0.0011,0.0051,0.0271,0.0014,0.0065,0.0015,0.0015,0.0253,0,0.0004
 3.246      3.234 ,GPC,0.1219,0.3041,0.4043,0.1482,0.31385,0.1279,0.3881,0.3349,0.2317,0.3147,0.03,0.0717,0.0903,0.0498,0.0229,0.0026,0.0076,0.0105,0.0091,0.0086, 3.246      3.234 ,GPC,0.015,0.031,0.0439,0.0188,0.0298,0.0001,0.0057,0.0407,0.0003,0.0112,0.0012,0,0.004,0.003,0
 3.236      3.222,Pcholine,0.1815,0.528,0.463,0.1941,0.335502,0.1687,0.6932,0.3876,0.3048,0.3321,0.0413,0.1299,0.108,0.0577,0.0698,0.0035,0.0129,0.011,0.0105,0.0094, 3.236      3.222,Pcholine,0.0099,0.0211,0.0145,0.0055,0.0083,0.0016,0.0068,0.0582,0.0002,0.0282,0.0016,0.0006,0.0086,0,0
 3.218      3.210,Choline ,0.0892,0.1362,0.0544,0.2212,0.0583805,0.0707,0.1927,0.046,0.355,0.0628,0.017,0.0404,0.0133,0.0781,0.0088,0.0037,0.0042,0.0025,0.011,0.0031, 3.218      3.210,Choline ,0.0067,0.0119,0.0069,0.0237,0.0052,0,0.0017,0.0207,0,0.0041,0.001,0.0008,0.0115,0,0.012
3.057      3.038 ,Creatine,0.6066,1.2187,1.1599,0.7839,1.03029,0.6331,1.6542,1.0536,1.2308,1.0571,0.1426,0.3125,0.2668,0.258,0.0294,0.0128,0.0294,0.0272,0.0327,0.0237,3.057      3.038 ,Creatine,0.0749,0.1246,0.1453,0.1165,0.1131,0.0044,0.0155,0.1968,0.0032,0.0434,0.0031,0.0012,0.002,0,0
 2.848      2.800,Asparate,0.0791,0.249,0.1227,0.1352,0.166774,0.0726,0.3078,0.1053,0.1989,0.1714,0.019,0.0657,0.0331,0.0498,0.0299,0.0094,0.0017,0,0.013,0, 2.848      2.800,Asparate,0.0046,0.0114,0,0.0056,0.0045,0.0004,0.0006,0.0416,0,0.0111,0.0006,0,0.0246,0,0.0016
  2.742      2.734 ,Sarcosine,0.0951,0.1853,0.0957,0.1098,0.0914114,0.0729,0.3073,0.2778,0.1293,0.2847,0.1639,0.1714,0.1861,0.1575,0.1555,0.0513,0.1162,0.1726,0.1973,0.2821,  2.742      2.734 ,Sarcosine,0.0019,0.0039,0.0022,0.0018,0.0025,0.0023,0.0059,0.0059,0.004,0.006,0.0011,0,0.0059,0.0002,0
 2.474      2.450,Glutamine,0.2828,0.2886,0.4659,0.1856,0.235786,0.2553,0.3834,0.3957,0.3017,0.2413,0.0637,0.0795,0.107,0.0688,0.048,0.0001,0.0053,0.0132,0.0127,0.0066, 2.474      2.450,Glutamine,0.0316,0.0285,0.046,0.0221,0.0213,0.0005,0.0069,0.0538,0.0015,0.0107,0.0022,0.0018,0.0014,0.0229,0
 2.418      2.407,Succinate,0.0361,0.1303,0.1788,0.0869,0.0888086,0.0341,0.1676,0.1613,0.1385,0.0918,0.0102,0.0314,0.0448,0.029,0.0056,0.0078,0.0032,0.0064,0.0089,0.0043, 2.418      2.407,Succinate,0.0063,0.0159,0.0271,0.0118,0.0112,0.0033,0.0038,0.0251,0.0018,0.005,0.0023,0.0008,0.0078,0.0064,0.0005
 2.391      2.335,Glutamate,0.3992,1.3214,1.2321,0.7823,1.12804,0.4017,1.6478,1.0111,1.2329,1.1126,0.0919,0.2988,0.246,0.2361,0.2024,0.0175,0.0285,0.0328,0.0427,0.0314, 2.391      2.335,Glutamate,0.0266,0.0521,0.0337,0.0245,0.0269,0.0009,0.0137,0.2442,0.0026,0.0519,0.0055,0.0019,0.005,0.0311,0.0141
 2.326      2.289  ,GABA,0.1263,0.2652,0.1772,0.1897,0.24101,0.1098,0.3331,0.1463,0.2949,0.2225,0.0347,0.0793,0.0525,0.0746,0.053,0.0083,0.0097,0.0186,0.0198,0.0217, 2.326      2.289  ,GABA,0.0192,0.0343,0.0285,0.0399,0.0286,0.0094,0.0146,0.0497,0.0125,0.0163,0.0065,0.0047,0.0133,0.0004,0.0005
2.037      2.014,NAA,0.7388,0.8292,0.911,0.7276,1.03514,0.5574,1.0443,0.733,1.1327,1.0001,0.1579,0.235,0.218,0.2472,0.2298,0.0121,0.0259,0.0296,0.0364,0.0297,2.037      2.014,NAA,0.0338,0.0286,0.0272,0.0207,0.028,0.0002,0.0106,0.2554,0.0004,0.0467,0.0034,0,0.0351,0,0
1.930      1.923,Acetate,0.0439,0.1599,0.083,0.0944,0.0823476,0.0725,0.2751,0.0972,0.1683,0.1109,0.0229,0.0579,0.0326,0.0456,0.0116,0.0127,0.0163,0.0162,0.0241,0.0181,1.930      1.923,Acetate,0.0436,0.0409,0.0412,0.0357,0.0407,0.0483,0.0384,0.0568,0.0411,0.0494,0.0488,0.0108,0.0549,0.0051,0
1.509      1.470  ,Alanine,0.1976,0.5158,0.435,0.2271,0.421879,0.2004,0.7173,0.3795,0.4039,0.4104,0.0464,0.1382,0.1131,0.0909,0.051,0.0323,0.016,0.0215,0.0273,0.0175,1.509      1.470  ,Alanine,0.0318,0.0634,0.0592,0.046,0.0491,0.0093,0.0137,0.0645,0.0113,0.021,0.009,0.0067,0.0198,0.0132,0.0097
  1.365      1.302 ,Lactate,4.3118,6.3587,7.187,2.7238,5.86104,3.6317,8.2338,6.1941,4.4896,6.1056,0.9182,1.6793,1.7081,1.0018,1.3804,0.475,0.2037,0.2412,0.2861,0.1691,  1.365      1.302 ,Lactate,0.5936,0.8723,0.9034,0.6457,0.8136,0.1886,0.2635,0.8057,0.1822,0.3406,0.1755,0.1252,0.3771,0.8743,0.031
 1.065      1.036  ,Valine,0.0464,0.2253,0.2146,0.0829,0.171311,0.0408,0.3007,0.1888,0.139,0.1628,0.0195,0.0571,0.0544,0.0326,0.0254,0.0158,0.0112,0.0108,0.015,0.0085, 1.065      1.036  ,Valine,0.0142,0.0306,0.0304,0.0228,0.0253,0.0083,0.0108,0.023,0.0094,0.0198,0.0093,0.0049,0.0146,0.0042,0
1.033      1.011,Isoluecine,0.033,0.1438,0.1686,0.0497,0.10555,0.0294,0.1988,0.1432,0.089,0.1164,0.0135,0.0395,0.0418,0.0216,0.0195,0.01,0.0056,0.0076,0.0089,0.0056,1.033      1.011,Isoluecine,0.0076,0.0195,0.0223,0.0136,0.015,0.005,0.0088,0.0116,0.0063,0.0095,0.0037,0.0014,0.0077,0.0322,0
  0.030     -0.093 ,TSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9821,1,1,1,1,1,  0.030     -0.093 ,TSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
